GM1,GM2,GM3,GM4,GM7,GM8,GM9,GM10,GM11
-5.01E-07,5.38E-02,9.17E-05,5.09E-05,-2.10E-03,-1.50E-03,3.94E-04,5.45E-01,2.42E-03
-5.91E-07,7.34E-02,6.03E-05,7.00E-05,-1.40E-03,-9.92E-04,4.59E-02,3.92E-01,2.11E-03
-6.75E-07,8.45E-02,1.62E-05,5.96E-05,-1.00E-03,-5.54E-04,7.60E-02,3.89E-01,1.70E-03
-7.66E-07,8.59E-02,-2.71E-05,4.81E-05,8.41E-04,-1.82E-04,8.35E-02,2.73E-01,1.15E-03
-9.02E-07,7.74E-02,-5.60E-05,4.97E-05,3.15E-03,8.43E-05,7.44E-02,-1.92E-02,4.85E-04
-1.05E-06,5.99E-02,-6.54E-05,5.47E-05,-3.44E-04,2.51E-04,4.24E-02,-1.46E-01,-2.66E-04
-1.16E-06,3.51E-02,-5.65E-05,5.43E-05,-4.03E-03,3.62E-04,3.16E-03,-1.69E-01,-1.01E-03
-1.19E-06,5.42E-03,-2.55E-05,5.36E-05,-2.95E-03,4.55E-04,-1.13E-02,-1.29E-01,-1.60E-03
-1.17E-06,-2.61E-02,4.49E-05,4.70E-05,-2.52E-03,5.57E-04,-6.42E-03,-2.58E-01,-1.94E-03
-1.09E-06,-5.60E-02,1.70E-04,3.71E-05,-1.99E-03,7.15E-04,-6.10E-03,-3.26E-01,-1.98E-03
-9.23E-07,-8.15E-02,3.35E-04,5.88E-05,-2.31E-03,9.58E-04,-1.12E-02,-3.27E-01,-1.76E-03
-7.16E-07,-1.00E-01,5.16E-04,7.29E-05,-3.74E-03,1.18E-03,-1.63E-02,-3.67E-01,-1.33E-03
-6.50E-07,-1.11E-01,6.87E-04,6.58E-05,-2.47E-03,1.14E-03,-1.98E-02,-2.31E-01,-7.35E-04
-8.38E-07,-1.13E-01,8.17E-04,7.94E-05,4.96E-04,6.69E-04,-1.56E-02,-6.59E-02,-2.04E-05
-1.21E-06,-1.07E-01,8.80E-04,9.46E-05,4.28E-03,-1.23E-04,-4.76E-03,5.39E-02,7.83E-04
-1.64E-06,-9.43E-02,8.57E-04,8.19E-05,-1.71E-03,-9.22E-04,6.78E-03,1.42E-01,1.62E-03
-2.01E-06,-7.63E-02,7.53E-04,7.41E-05,-8.42E-03,-1.55E-03,2.34E-02,2.12E-01,2.43E-03
-2.33E-06,-5.49E-02,6.06E-04,6.74E-05,-5.34E-03,-1.98E-03,4.46E-02,4.22E-01,3.16E-03
-2.66E-06,-3.21E-02,4.39E-04,5.59E-05,-6.10E-03,-2.11E-03,4.75E-02,3.96E-01,3.72E-03
-2.90E-06,-9.94E-03,2.65E-04,5.15E-05,9.83E-04,-1.88E-03,2.15E-02,9.69E-02,4.06E-03
